trade_id,direction,entry_time,exit_time,entry_price,signal_entry_price,initial_stop_price,final_stop_price_at_exit,target_price,entry_regime_score,target_rr,trail_style,risk_regime,risk_per_trade,notional,original_exit_reason,original_signal_exit_price,original_exit_price,gross_pnl,fees,slippage_cost,pnl,pnl_pct,rr_ratio,obi_start_timestamp_ms,obi_end_timestamp_ms,stop_update_count
201,BULL,2024-05-25 01:15,2024-05-28 01:45,68730.1479,68695.8,67824.0675,68730.1479,73260.54989999995,4,5.5,loose,bull_strong,0.06,12703.766676981697,stop_loss,68730.1479,68695.78282605,-6.351883338490998,12.700590735312453,12.700592322488625,-19.052474073803452,-0.006825754490199331,-0.11376257483665551,1716599700000,1716860700000,1
202,BEAR,2024-05-29 18:00,2024-05-30 13:45,67430.16805,67463.9,68463.32625,68463.32625,63814.114349999974,2,3.5,normal,bull_weak,0.025,4523.28121297253,stop_loss,68463.32625,68497.557913125,-71.60154949058673,4.559081987717823,4.559065227096815,-76.16063147830455,-0.027472891521031377,-1.098915660841255,1717005600000,1717076700000,0
203,BULL,2024-05-31 00:00,2024-05-31 14:30,68409.1875,68375.0,67513.89375,67513.89375,73333.30312499998,4,5.5,loose,bull_strong,0.06,12360.271511719884,stop_loss,67513.89375,67480.136803125,-167.862231392933,12.276340396023418,12.276301499541074,-180.13857178895643,-0.06681574795042836,-1.113595799173806,1717113600000,1717165800000,0
204,BULL,2024-06-03 04:30,2024-06-07 18:00,68485.32555000001,68451.1,67630.22125,69767.98200000002,72760.84705000004,4,5.5,loose,bull_strong,0.06,12089.962857632183,stop_loss,69767.98200000002,69733.09800900002,220.27379680151856,12.200099756032941,12.200157874521253,208.07369704548563,0.08270312151772635,1.3783853586287727,1717389000000,1717783200000,2
205,BEAR,2024-06-12 09:15,2024-06-12 12:30,67407.2795,67441.0,68382.22499999999,68382.22499999999,65457.38850000003,2,2.0,tight,bear_weak,0.015,2825.0256192838583,stop_loss,68382.22499999999,68416.41611249998,-42.292713855478496,2.846171976211598,2.8461621145730547,-45.1388858316901,-0.016570902583368626,-1.1047268388912417,1718183700000,1718195400000,0
206,BEAR,2024-06-13 06:30,2024-06-13 12:30,67348.7088,67382.4,68309.5275,68309.5275,65427.071399999986,2,2.0,tight,bear_weak,0.015,2816.610609624109,stop_loss,68309.5275,68343.68226374999,-41.61108452152954,2.8374161518848737,2.8374064584649785,-44.448500673414415,-0.016592406964214962,-1.1061604642809975,1718260200000,1718281800000,0
207,BEAR,2024-06-13 19:00,2024-06-14 21:30,66679.74345000001,66713.1,67817.4525,66395.31618750001,64404.32535000003,2,2.0,tight,bear_weak,0.015,2315.9823675164703,stop_loss,66395.31618750001,66428.51384559376,8.725938401957372,2.3116193983154916,2.311622157705451,6.4143190036418805,0.002434833524772321,0.1623222349848214,1718305200000,1718400600000,1
208,BEAR,2024-06-15 01:30,2024-06-17 16:15,66062.1524,66095.2,67037.52375,65818.30956250001,64111.40970000003,2,2.0,tight,bear_weak,0.015,2682.942810966504,stop_loss,65818.30956250001,65851.21871728126,8.566523903344116,2.6786595490148324,2.6786623603107085,5.887864354329284,0.002229566162058873,0.1486377441372582,1718415000000,1718640900000,1
209,BEAR,2024-06-18 06:45,2024-06-20 10:45,65478.344450000004,65511.1,66281.085,66281.085,61866.011974999994,3,4.5,loose,bear_strong,0.02,4317.7463551017,stop_loss,66281.085,66314.2255425,-55.119330990359224,4.34530602059688,4.345293327086932,-59.4646370109561,-0.022467467913418533,-1.1233733956709266,1718693100000,1718880300000,0
210,BEAR,2024-06-20 12:15,2024-06-24 09:30,66022.57220000001,66055.6,67035.195,64503.63800000001,61465.76960000002,3,4.5,loose,bear_strong,0.02,3373.7321189764584,target_rr,61465.76960000002,61496.50248480002,231.28070085849885,3.258091768547209,3.2581504032596307,228.02260908995163,0.08813370937051,4.4066854685255,1718885700000,1719221400000,2
211,BEAR,2024-06-24 13:00,2024-06-25 03:00,61011.878800000006,61042.4,61939.08,61011.878800000006,56839.473400000024,4,4.5,loose,bear_strong,0.02,3705.0027582111366,stop_loss,61011.878800000006,61042.384739400004,-1.852501379105457,3.7059290089006893,3.705929472257333,-5.558430388006146,-0.0019743950109145365,-0.09871975054572683,1719234000000,1719284400000,1
212,BEAR,2024-06-28 16:30,2024-06-30 07:00,60809.38010000001,60839.8,61774.346249999995,61774.346249999995,56467.03242500007,4,4.5,loose,bear_strong,0.02,3541.1824441318395,stop_loss,61774.346249999995,61805.23342312499,-57.99266986411095,3.5701787790638946,3.5701651734371387,-61.562848643174846,-0.021910833450200517,-1.0955416725100258,1719592200000,1719730800000,0
213,BEAR,2024-07-02 11:00,2024-07-03 03:00,62662.653000000006,62694.0,63473.625,62054.42400000001,61040.70900000002,2,2.0,tight,bear_weak,0.015,3185.1686720883004,target_rr,61040.70900000002,61071.229354500014,80.89272472499896,3.1447223097258012,3.144743319092356,77.74800241527315,0.028291174744431723,1.8860783162954482,1719918000000,1719975600000,2
214,BEAR,2024-07-03 07:00,2024-07-04 08:30,60955.20715,60985.7,61752.47624999999,59759.303500000016,57367.496200000045,4,4.5,loose,bear_strong,0.02,4321.05945176113,target_rr,57367.496200000045,57396.17994810004,252.2962163347318,4.194911343593764,4.194975466391123,248.10130499113805,0.0877959902961485,4.389799514807424,1719990000000,1720081800000,2
215,BEAR,2024-07-04 11:15,2024-07-04 19:30,57753.109000000004,57782.0,58537.58625,58537.58625,54222.96137500002,4,4.5,loose,bear_strong,0.02,4526.127992431199,stop_loss,58537.58625,58566.855043125,-63.773514678112925,4.558014749770256,4.557999945890991,-68.33152942788318,-0.022228969040123458,-1.111448452006173,1720091700000,1720121400000,0
216,BEAR,2024-07-05 02:00,2024-07-05 16:15,56814.67845,56843.1,58103.325,56814.67845,51015.76897500001,4,4.5,loose,bear_strong,0.02,2650.3041694069334,stop_loss,56814.67845,56843.085789225,-1.3251520847034344,2.650966745449285,2.6509670769029596,-3.9761188301527195,-0.0013228797507681522,-0.06614398753840761,1720144800000,1720196100000,1
217,BEAR,2024-07-05 20:15,2024-07-06 13:45,56310.0309,56338.2,57177.79875,57177.79875,52405.07557499998,4,4.5,loose,bear_strong,0.02,3895.617356886473,stop_loss,57177.79875,57206.387649375,-62.011383318697376,3.9266230485458213,3.926608527351907,-65.9380063672432,-0.02196704933582605,-1.0983524667913025,1720210500000,1720273500000,0
218,BEAR,2024-07-07 07:00,2024-07-08 08:45,57399.78575,57428.5,58461.85124999999,57399.78575,52620.49100000005,4,4.5,loose,bear_strong,0.02,3173.266441933195,stop_loss,57399.78575,57428.485642875,-1.5866332209663925,3.1740597585436783,3.1740601554000554,-4.760692979510071,-0.0016216331021285343,-0.0810816551064267,1720335600000,1720428300000,1
219,BEAR,2024-07-11 00:15,2024-07-11 10:00,57468.95115,57497.7,58522.5,58522.5,52727.981325,4,4.5,loose,bear_strong,0.02,3197.5793074147127,stop_loss,58522.5,58551.761249999996,-60.24768332003289,3.2277031490747294,3.2276888940756905,-63.47538646910762,-0.021656716842318152,-1.0828358421159074,1720656900000,1720692000000,0
220,BEAR,2024-07-11 19:45,2024-07-12 16:30,57352.9092,57381.6,58352.90625,58352.90625,52852.922475000014,4,4.5,loose,bear_strong,0.02,3289.2034129077133,stop_loss,58352.90625,58382.082703124994,-59.02335288953242,3.3187150893524793,3.3187011631889964,-62.3420679788849,-0.021740884117139276,-1.0870442058569636,1720727100000,1720801800000,0
221,BEAR,2024-07-12 18:15,2024-07-13 16:15,58114.72810000001,58143.8,58947.64875,58947.64875,54366.585175000044,4,4.5,loose,bear_strong,0.02,3914.4475948407335,stop_loss,58947.64875,58977.122574375,-58.08851020024154,3.9434918499408544,3.9434783136823133,-62.03200205018239,-0.02211352065078911,-1.1056760325394557,1720808100000,1720887300000,0
222,BULL,2024-07-15 19:00,2024-07-16 05:30,63622.79549999999,63591.0,62477.24875,63622.79549999999,67918.59581249997,2,5.0,normal,bull_weak,0.025,3808.7834979497225,stop_loss,63622.79549999999,63590.98410225,-1.904391748974628,3.8078313020752352,3.807831777934584,-5.712223051049863,-0.002082374367329871,-0.08329497469319483,1721070000000,1721107800000,1
223,BULL,2024-07-16 15:00,2024-07-17 16:30,64252.10999999999,64220.0,62632.48375000001,64252.10999999999,70325.70843749994,2,5.0,normal,bull_weak,0.025,2714.898749578674,stop_loss,64252.10999999999,64219.983945,-1.3574493747890564,2.7142200248912793,2.714220364083463,-4.071669399680336,-0.0014874126356697129,-0.05949650542678852,1721142000000,1721233800000,1
224,BULL,2024-07-18 06:00,2024-07-18 14:45,64945.45649999999,64913.0,63857.576250000006,63857.576250000006,70928.79787499993,3,5.5,loose,bull_strong,0.06,9790.694903837171,stop_loss,63857.576250000006,63825.64746187501,-168.81409776280663,9.706287854955768,9.706248077992043,-178.5203856177624,-0.06531203724523561,-1.0885339540872603,1721282400000,1721313900000,0
